season,model,mae,rmse,spearman_rho,kendall_tau,top1_accuracy,top3_accuracy,race_kendall_tau,dnf_brier_score,dnf_roc_auc
2021,Random Forest,3.2558962252958072,4.191908992779035,0.6969385987537308,0.5479528016103002,0.45454545454545453,0.6969696969696968,0.5832535885167464,0.18400531536398923,0.4346056319231283
2021,LightGBM Regressor,3.2409168149316594,4.203794260054643,0.6983412077397184,0.5506190169046364,0.45454545454545453,0.6969696969696968,0.5883552553926408,0.18400531536398923,0.4346056319231283
2021,XGBoost Regressor,3.257432699203491,4.214939006757805,0.6932304631056728,0.547414473860463,0.36363636363636365,0.6818181818181818,0.589310929070856,0.18400531536398923,0.4346056319231283
2021,LambdaRank Ranking,3.913996959988632,4.901471578324795,0.6754978013415883,0.5368751090262625,0.4090909090909091,0.6818181818181817,0.5700972751817205,0.18400531536398923,0.4346056319231283
2021,PyTorch Embedding NN,3.2026455402374268,4.596085765519794,0.6497161888558501,0.5099865908403225,0.2727272727272727,0.6666666666666665,0.5339712918660287,0.18400531536398923,0.4346056319231283
2022,Historical Average,3.5228860031116707,4.780591031784251,0.5725833564973526,0.4408027746803852,0.4090909090909091,0.6818181818181818,0.4502392344497608,0.18081923526455926,0.45624723083739477
2022,Ridge Regression,3.5574781713650965,4.600980097909786,0.5948974811901939,0.4600087113750917,0.45454545454545453,0.606060606060606,0.4775119617224881,0.18081923526455926,0.45624723083739477
2022,Random Forest,3.6408663420660297,4.590381692177424,0.5926849974040729,0.4564221883901134,0.5454545454545454,0.6666666666666665,0.4727272727272727,0.18081923526455926,0.45624723083739477
2022,LightGBM Regressor,3.5165915452308107,4.52425617913469,0.6061150532614803,0.4659933236932213,0.36363636363636365,0.6363636363636362,0.47511961722488044,0.18081923526455926,0.45624723083739477
2022,XGBoost Regressor,3.5643508434295654,4.5728558628265885,0.5968353649366942,0.46110403306143605,0.45454545454545453,0.6666666666666665,0.47368421052631576,0.18081923526455926,0.45624723083739477
2022,LambdaRank Ranking,4.265271785744706,5.1906683696585825,0.6011269009590894,0.4615921422668399,0.45454545454545453,0.6515151515151514,0.46794258373205744,0.18081923526455926,0.45624723083739477
2022,PyTorch Embedding NN,3.5069069862365723,4.863746369575473,0.573138804740993,0.4353911571586723,0.22727272727272727,0.621212121212121,0.45358851674641143,0.18081923526455926,0.45624723083739477
2023,Historical Average,3.371656856023411,4.551138153916731,0.6117222877657168,0.46941007044222427,0.7727272727272727,0.6212121212121211,0.48708133971291867,0.18149241677613165,0.4858815426997245
2023,Ridge Regression,3.361913967339072,4.369853271330387,0.6386289454227363,0.4890828917858629,0.8636363636363636,0.5909090909090909,0.50622009569378,0.18149241677613165,0.4858815426997245
2023,Random Forest,3.474013662916018,4.383902586111264,0.646597610728148,0.498611583029977,0.7727272727272727,0.6212121212121212,0.5129186602870814,0.18149241677613165,0.4858815426997245
2023,LightGBM Regressor,3.36099956342285,4.36143342407513,0.652912343553893,0.5046174173776034,0.45454545454545453,0.6060606060606061,0.5301435406698564,0.18149241677613165,0.4858815426997245
2023,XGBoost Regressor,3.343287467956543,4.303352051883077,0.6573776509427122,0.5079917200676126,0.7272727272727273,0.5757575757575757,0.5291866028708134,0.18149241677613165,0.4858815426997245
2023,LambdaRank Ranking,3.997999619927822,4.950971195457924,0.6516897597565727,0.5019566513398052,0.7727272727272727,0.6515151515151515,0.5076555023923445,0.18149241677613165,0.4858815426997245
2023,PyTorch Embedding NN,3.3963584899902344,4.754963339615142,0.6223471748395992,0.4683701909968755,0.7272727272727273,0.6060606060606062,0.4885167464114833,0.18149241677613165,0.4858815426997245
2024,Historical Average,2.8708091151914625,3.93190083303048,0.729163821921252,0.5663629547564991,0.4583333333333333,0.6666666666666666,0.5892300194931774,0.1695628694686789,0.44897603485838783
2024,Ridge Regression,3.028396653213862,3.945875117429779,0.720626635668299,0.5550826075813673,0.4583333333333333,0.5833333333333334,0.5728557504873294,0.1695628694686789,0.44897603485838783
2024,Random Forest,3.046056385434144,3.9054328800771545,0.7409692232393721,0.5740622393363509,0.4166666666666667,0.6249999999999999,0.6001949317738792,0.1695628694686789,0.44897603485838783
